state,move,class
rnb1kbnr/1pp2ppp/8/3qp3/Pp1P4/2p3PP/2P1PP2/1RBQKBNR w Kkq - 1 8,e2e3,0
rnb1kbnr/1pp2ppp/8/4p3/Pp1P4/2p1P1PP/2P2P2/1RBQKBNq w kq - 0 9,f2f4,0
rnb1kbnr/1pp2ppp/8/4p3/Pp1P1P2/2p1P1PP/2P5/1RBQKBq1 w kq - 0 10,e3e4,0
rn2kbnr/1pp2ppp/8/4p3/Pp1PPP2/2p3Pb/2P5/1RBQKBq1 w kq - 0 11,d1e2,0
rn2kbnr/1pp2ppp/8/4p3/Pp1PPP2/2p3P1/2P1Q3/1RB1Kbq1 w kq - 0 12,g3g4,0
rn2kbnr/1pp2ppp/8/4p3/Pp1PPPP1/2p5/2P1Q1b1/1RB1K1q1 w kq - 1 13,e2f1,0
rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,d7d5,1
rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/1RBQKBNR b Kkq - 1 2,d5d4,1
rnbqkbnr/ppp1pppp/8/8/P2p4/2N5/1PPPPPPP/1RBQKBNR b Kkq - 0 3,d4c3,1
rnbqkbnr/ppp1pppp/8/8/PP6/2p5/2PPPPPP/1RBQKBNR b Kkq - 0 4,a7a5,1
rnbqkbnr/1pp1pppp/8/p7/PP1P4/2p5/2P1PPPP/1RBQKBNR b Kkq - 0 5,a5b4,1
rnbqkbnr/1pp1pppp/8/8/Pp1P4/2p4P/2P1PPP1/1RBQKBNR b Kkq - 0 6,e7e5,1
